sample,cropped_percentage,rmse_org,rel_org,rmse_cropped,rel_cropped
bedroom/rgb_00971.jpg bedroom/sync_depth_00971.png 518.8579,75,0.28266495,0.07198468,1.5512334,0.47485483
bedroom/rgb_00972.jpg bedroom/sync_depth_00972.png 518.8579,75,0.29576385,0.10205824,1.7591848,0.5596069
bedroom/rgb_00973.jpg bedroom/sync_depth_00973.png 518.8579,75,0.30583206,0.09901533,2.0588775,0.5823989
bedroom/rgb_00974.jpg bedroom/sync_depth_00974.png 518.8579,75,0.3414069,0.10682398,1.9631593,0.58383507
bedroom/rgb_00975.jpg bedroom/sync_depth_00975.png 518.8579,75,0.374796,0.08531115,1.5891749,0.46311134
bedroom/rgb_00976.jpg bedroom/sync_depth_00976.png 518.8579,75,0.3552364,0.088381074,1.6361554,0.54202574
bedroom/rgb_00990.jpg bedroom/sync_depth_00990.png 518.8579,75,0.66797006,0.24153176,2.1195436,0.5847474
bedroom/rgb_00991.jpg bedroom/sync_depth_00991.png 518.8579,75,0.6396513,0.17340082,2.6878698,0.6495083
bedroom/rgb_00992.jpg bedroom/sync_depth_00992.png 518.8579,75,0.75910157,0.2376617,2.619101,0.6107935
bedroom/rgb_00993.jpg bedroom/sync_depth_00993.png 518.8579,75,0.24244124,0.06558651,2.00194,0.5614622
bedroom/rgb_00994.jpg bedroom/sync_depth_00994.png 518.8579,75,0.30546102,0.1259658,0.586006,0.1491783
bedroom/rgb_01001.jpg bedroom/sync_depth_01001.png 518.8579,75,0.3949083,0.11079795,1.6414447,0.46934736
bedroom/rgb_01002.jpg bedroom/sync_depth_01002.png 518.8579,75,0.3769371,0.14051549,0.76273733,0.35298845
bedroom/rgb_01003.jpg bedroom/sync_depth_01003.png 518.8579,75,0.40926605,0.11284275,2.4446216,0.6322247
bedroom/rgb_01009.jpg bedroom/sync_depth_01009.png 518.8579,75,0.50324017,0.15147735,1.4009675,0.45626464
bedroom/rgb_01010.jpg bedroom/sync_depth_01010.png 518.8579,75,0.604383,0.25074235,0.48466867,0.21420358
bedroom/rgb_01011.jpg bedroom/sync_depth_01011.png 518.8579,75,0.520778,0.20775156,1.3524748,0.46262875
